Distance	Type	Venue	City	State
34.5	NE-VENUE	The Old Miners Tavern	Mineville	NY
35.5	NE-FEST	Ausable Chasm Summer Concert Series	Ausable Chasm	NY
36.3	NE-VENUE	Old Orchard Place	Willsboro	NY
36.3	NE-VENUE	Adirondack Lake Center for the Arts	Blue Mountain Lake	NY
36.7	NE-THEATRE	Whallonsburg Grange	Whallonsburg	NY
36.8	NE-VENUE	Titus Mountain	Malone	NY
36.8	NE-VENUE	Cafe Nouveaux	Malone	NY
36.8	NE-VENUE	Mo's Pub & Grill	Malone	NY
36.8	NE-VENUE	The Pines Tap & Table	Malone	NY
36.8	NE-VENUE	Downtown Artist Cellar	Malone	NY
38.4	NE-FEST	Adirondack Folk Festival	Schroon Lake	NY
38.4	NE-VENUE	Sticks & Stones	Schroon Lake	NY
38.4	NE-VENUE	The Lodge at Schroon Lake	Schroon Lake	NY
38.5	NE-VENUE	Indian Lake Restaurant, Tavern and Liquor Store	Indian Lake	NY
41.7	NE-VENUE	Garnett Hill Lodge	North River	NY
42.1	NE-FEST	Parks Come Alive	Plattsburgh	NY
42.1	NE-VENUE	Cabana Beach Bar	Plattsburgh	NY
42.1	NE-VENUE	Peadbody's	Plattsburgh	NY
42.1	NE-VENUE	Valcour Brewing	Plattsburgh	NY
42.1	NE-VENUE	Jaxtaposed Creations	Plattsburgh	NY
42.1	NE-VENUE	Koffee Kat	Plattsburgh	NY
42.1	NE-VENUE	Naked Turtle	Plattsburgh	NY
42.1	NE-VENUE	Olive Ridley's	Plattsburgh	NY
42.1	NE-VENUE	Busters	Plattsburgh	NY
42.1	NE-VENUE	Monopole	Plattsburgh	NY
42.1	NE-VENUE	ADK Fox Brewing	Plattsburgh	NY
42.8	NE-VENUE	Raquette River Pub	Colton	NY
44.4	NE-VENUE	Beck's Tavern	North Creek	NY
44.8	NE-VENUE	Shelburne Vineyard	Shelburne	VT
46.1	NE-VENUE	Twin Lakes Hotel (The Hotel Without Rooms)	Star Lake	NY
46.5	NE-FEST	Grand Point North	Burlington	VT
46.5	NE-FEST	BCA Summer Concert Series	Burlington	VT
46.5	NE-VENUE	Hotel Champlain Burlington, Curio Collection by Hilton	Burlington	VT
46.5	NE-VENUE	Halvorsons	Burlington	VT
46.5	NE-VENUE	Foam Brewers - Burlington Waterfront	Burlington	VT
46.5	NE-VENUE	The Old Post	Burlington	VT
46.5	NE-VENUE	Bleu Northeast Seafood	Burlington	VT
46.5	NE-VENUE	Burlington Beer Company	Burlington	VT
46.5	NE-VENUE	Halvorson's	Burlington	VT
46.5	NE-VENUE	Skinny Pancake	Burlington	VT
46.5	NE-VENUE	Switchback Brewing Co.	Burlington	VT
46.5	NE-VENUE	Venician Soda Lounge	Burlington	VT
46.5	NE-THEATRE	Higher Ground	Burlington	VT
46.5	NE-VENUE	Radio Bean / Light Club Lamp Shop	Burlington	VT
46.5	NE-HOUSE	Lakeshore Community Event Series ( LCES)	Burlington	VT
46.5	NE-LIBRARY	Fletcher Free Library (Community Music Series)	Burlington	VT
46.5	NE-RADIO	WRUV	Burlington	VT
48.0	NE-VENUE	Maxfields	Potsdam	NY
48.0	NE-VENUE	McDuff's Pub	Potsdam	NY
48.0	NE-LIBRARY	Potsdam Public Library	Potsdam	NY
48.4	NE-VENUE	Maddens Pub	Ticonderoga	NY
48.4	NE-VENUE	Seymour's Restaurant & Tap Room	Ticonderoga	NY
48.5	NE-VENUE	The Hub	Brant Lake	NY
50.0	NE-VENUE	Stine Orchard	Monkton	VT
50.4	NE-VENUE	Lincoln Peak Vineyard	New Haven	VT
51.5	NE-VENUE	Akwesasne Mohawk Casino Resort	Hogansburg	NY
51.5	NE-RADIO	CKON	Hogansburg	NY
51.6	NE-VENUE	Black Flannel Brewing Co.	Essex	VT
52.5	NE-FEST	Middlebury Festival on the Green	Middlebury	VT
52.5	NE-THEATRE	Town Hall Theater	Middlebury	VT
52.5	NE-RADIO	WRMC	Middlebury	VT
53.6	NE-FEST	Silver Bay’s Mountain Music Festival	Silver Bay	NY
53.8	NE-VENUE	The Tillerman	Bristol	VT
54.4	NE-RADIO	NCPR	Canton	NY
54.6	NE-VENUE	The North Hero House Inn & Restaurant	North Hero	VT
54.6	NE-VENUE	Two Heroes Grill and Tiki Bar	North Hero	VT
55.8	NE-VENUE	Gristmill Brewery	Massena	NY
56.1	NE-FEST	Music on the Point	Speculator	NY
56.1	NE-VENUE	Lemon Tree Brewery	Speculator	NY
56.4	NE-VENUE	Bolton Valley Resort	Richmond	VT
57.2	NE-VENUE	Jericho Cafe & Tavern	Jericho	VT
58.4	NE-VENUE	Frederick's Restaurant and Lounge	Bolton Landing	NY
58.4	NE-VENUE	The Gem	Bolton Landing	NY
59.9	NE-VENUE	Adirondack League Club	Old Forge	NY
59.9	NE-VENUE	Slickers Adirondack Tavern	Old Forge	NY
59.9	NE-VENUE	View Arts Center	Old Forge	NY
60.2	NE-VENUE	Bandstand Brew Works	Warrensburg	NY
60.2	NE-VENUE	Trackside Tavern	Harrisville	NY
60.3	NE-VENUE	Blue Water Manor	Bolton	NY
60.3	NE-VENUE	The Barrel	Bolton	NY
61.0	NE-VENUE	Oxbow Inn	Lake Pleasant	NY
61.4	NE-VENUE	Mill River Brewing BBQ & Smokehouse	Saint Albans City	VT
61.4	NE-FEST	Vermont Maple Music Fest	St. Albans	VT
61.4	NE-VENUE	Twiggs - An American Gastropub	St. Albans	VT
63.5	NE-VENUE	Red Clover Ale Co	Brandon	VT
63.5	NE-VENUE	Brandon Inn	Brandon	VT
65.5	NE-FEST	Green Mountain Acoustic Fest	Waitsfield	VT
65.5	NE-VENUE	Lawson's Finest Liquids	Waitsfield	VT
65.5	NE-VENUE	Afterthoughts	Waitsfield	VT
65.8	NE-FEST	Adirondack Independence Music Festival	Lake George	NY
65.8	NE-FEST	Lake George Summer Concert Series	Lake George	NY
65.8	NE-VENUE	Christie's On the Lake	Lake George	NY
65.8	NE-VENUE	Duffy's Tavern	Lake George	NY
65.8	NE-VENUE	Lake George Beach Club	Lake George	NY
65.8	NE-VENUE	Lighthouse Grill	Lake George	NY
65.8	NE-VENUE	The Boardwalk Restaurant and Marina	Lake George	NY
65.8	NE-VENUE	The Boathouse Restaurant	Lake George	NY
65.8	NE-VENUE	The Garrison	Lake George	NY
66.1	NE-VENUE	Lake Bomoseen Lodge and Taproom	Bomoseen	VT
68.0	NE-THEATRE	Zen Barn	Waterbury	VT
69.9	NE-VENUE	Coachlight Inn	Brantingham	NY
70.7	NE-VENUE	Adirondack Winery	Queensbury	NY
70.7	NE-VENUE	Northway Brewing Co.	Queensbury	NY
71.4	NE-FEST	Ogdensburg International Seaway Festival	Ogdensburg	NY
71.4	NE-VENUE	The Bayside Grill	Ogdensburg	NY
71.4	NE-VENUE	The East Branch Inn	Ogdensburg	NY
72.0	NE-FEST	Green Mountain Songbird Festival	Stowe	VT
72.3	NE-VENUE	Uncle Mario's Garage	Glens Falls North	NY
74.5	NE-VENUE	Kitch A Vibe	Glens Falls	NY
74.5	NE-VENUE	The Grateful Den	Glens Falls	NY
74.5	NE-VENUE	The Shirt Factory	Glens Falls	NY
74.5	NE-THEATRE	The Park Theater	Glens Falls	NY
74.5	NE-LIBRARY	Crandall Public Library	Glens Falls	NY
74.5	NE-VENUE	Queensbury Hotel	Glens Falls	NY
74.5	NE-RADIO	WGFR	Glens Falls	NY
76.1	NE-FEST	Friday Night Live	Rutland	VT
79.7	NE-VENUE	Otter Lake Station	Forestport	NY
81.1	NE-FEST	Cooler in the Mountains Concert Series	Killington	VT
82.0	NE-VENUE	Dancing Grain Farm Brewery	Gansevoort	NY
82.0	NE-VENUE	Holy Moses Tavern	Gansevoort	NY
82.5	NE-VENUE	Better Farm	Redwood	NY
83.5	NE-VENUE	Constableville Ice Rink	Constableville	NY
83.8	NE-FEST	Boonville Porchfest	Boonville	NY
84.6	NE-VENUE	Vrooman's Hotel Inc	Caroga Lake	NY
84.9	NE-VENUE	Lanzi's on the Lake	Mayfield	NY
85.5	NE-VENUE	SingleCut North and Side Stage Tap Room	Saratoga County	NY
85.5	NE-VENUE	Trick Shot Billiard Hall & Wicked Eatery , Pub & Entertainment	Saratoga County	NY
87.8	NE-VENUE	Putnam Place	Saratoga Springs	NY
87.8	NE-VENUE	Embassy Suites by Hilton Saratoga Springs	Saratoga Springs	NY
87.8	NE-VENUE	Saratoga Casino Hotel	Saratoga Springs	NY
87.8	NE-VENUE	The Bourbon Room	Saratoga Springs	NY
87.8	NE-VENUE	The Ice House	Saratoga Springs	NY
87.8	NE-VENUE	550 Waterfront	Saratoga Springs	NY
87.8	NE-VENUE	Cooperstown Distillery Beverage Exchange at Saratoga	Saratoga Springs	NY
87.8	NE-VENUE	Desperate Annie's	Saratoga Springs	NY
87.8	NE-VENUE	Druthers Brewing Company	Saratoga Springs	NY
87.8	NE-VENUE	Henry Street Taproom	Saratoga Springs	NY
87.8	NE-VENUE	King's Tavern	Saratoga Springs	NY
87.8	NE-VENUE	Mittler’s Market and Bodega Bar	Saratoga Springs	NY
87.8	NE-VENUE	The Night Owl	Saratoga Springs	NY
87.8	NE-VENUE	Whitman Brewing Company and Walt Cafe	Saratoga Springs	NY
87.8	NE-THEATRE	Caffè Lena	Saratoga Springs	NY
87.8	NE-VENUE	The Inn at Saratoga	Saratoga Springs	NY
87.8	NE-RADIO	WSPN	Saratoga Springs	NY
87.8	NE-VENUE	The Parting Glass	Saratoga Springs	NY
87.8	NE-VENUE	Artisanal Brew Works	Saratoga Springs	NY
87.9	NE-VENUE	Great Sacandaga Brewing Co.	Broadalbin	NY
88.3	NE-VENUE	Riveredge Resort	Alexandria Bay	NY
88.3	NE-VENUE	Boldt Castle & Boldt Yacht House	Alexandria Bay	NY
88.3	NE-VENUE	Cavallario's Steak & Seafood	Alexandria Bay	NY
88.3	NE-VENUE	The Riverboat Bar	Alexandria Bay	NY
88.8	NE-VENUE	Lakeside Tavern & Marina	Gloversville	NY
90.6	NE-VENUE	ArtisTree Community Arts Center/Purple Crayon	South Pomfret	VT
91.2	NE-HOUSE	Hillview Sounds	Greenwich	NY
91.6	NE-VENUE	1812 on the river	Watertown	NY
91.6	NE-VENUE	Bad Apple Social LLC	Watertown	NY
91.6	NE-VENUE	Empire Square	Watertown	NY
91.6	NE-VENUE	Garland City Beer Works	Watertown	NY
92.5	NE-VENUE	Foxy's	Fishers Landing	NY
92.7	NE-VENUE	Calcuttas	Windsor County	VT
93.8	NE-VENUE	506 On the River Bistro	Woodstock	VT
93.8	NE-VENUE	Ottauquechee Yacht Club	Woodstock	VT
93.8	NE-VENUE	Pentangle Arts	Woodstock	VT
95.4	NE-VENUE	Unified Beerworks	Malta	NY
96.0	NE-VENUE	IRONROCK BREWING CO.	Little Falls	NY
96.4	NE-HOUSE	Billsville House Concerts	Manchester	VT
96.4	NE-RADIO	WEQX	Manchester	VT
96.6	NE-VENUE	Eight Oh Brew	Ludlow	VT
96.6	NE-VENUE	Killarney	Ludlow	VT
96.6	NE-VENUE	Killarney Irish Pub, 44 Pond Street	Ludlow	VT
96.6	NE-VENUE	Off The Rails	Ludlow	VT
96.6	NE-VENUE	The Bull @ Okemo	Ludlow	VT
96.6	NE-VENUE	Bromley Mountain Ski Resort	Peru	VT
96.9	NE-VENUE	Channel Side	Clayton	NY
97.4	NE-VENUE	Public House Quechee	Quechee	VT
99.5	NE-VENUE	BRONWYN on Battenkill	Arlington	VT
100.7	NE-VENUE	Wellsville Creative Arts Center	Wellsville	NY
100.7	NE-LIBRARY	David A Howe Library	Wellsville	NY
100.8	NE-VENUE	Fratello's Pizzeria	Frankfort	NY
100.8	NE-VENUE	The Crescent Restaurant and Bar	Chaumont	NY
100.9	NE-VENUE	Black Line Tavern @ Magic Mtn.	Londonderry	VT
100.9	NE-VENUE	New American Grill	Londonderry	VT
101.0	NE-VENUE	Hank Hudson Brewing Company	Mechanicville	NY
101.2	NE-VENUE	Gerber's 1933 Tavern	Utica	NY
101.2	NE-VENUE	Nail Creek Pub & Brewery	Utica	NY
101.2	NE-VENUE	Tramontane Cafe	Utica	NY
101.6	NE-VENUE	Copper City Brewing	Rome	NY
101.6	NE-HOUSE	Rocky Top House Concerts	Mohawk Valley	NY
102.0	NE-HOUSE	Summer Street Music Series	Bradford	VT
102.0	NE-VENUE	Revo Casino and Social House West Lebanon	West Lebanon	NH
102.1	NE-VENUE	1812 Brewery	Sackets Harbor	NY
102.1	NE-VENUE	The Sackets Boathouse	Sackets Harbor	NY
102.1	NE-VENUE	Tin Pan Galley	Sackets Harbor	NY
103.5	NE-VENUE	Union Underground	Bennington County	VT
103.5	NE-LIBRARY	Manchester Community Library	Bennington County	VT
103.5	NE-VENUE	Other One Brewing Company	Halfmoon	NY
104.3	NE-VENUE	One Genny	New Hartford	NY
104.3	NE-LIBRARY	New Hartford Public Library	New Hartford	NY
104.7	NE-VENUE	Taco Bob's Wayside Inn	Mannsville	NY
104.8	NE-VENUE	Salt Hill Pub	Lebanon	NH
105.1	NE-VENUE	Rivers Casino & Resort Schenectady	Schenectady	NY
105.1	NE-VENUE	Centre Street Pub	Schenectady	NY
105.1	NE-VENUE	Deloreys	Schenectady	NY
105.1	NE-VENUE	Frog Alley Brewing Co.	Schenectady	NY
105.1	NE-VENUE	Katie O'Byrnes Restaurant	Schenectady	NY
105.1	NE-VENUE	Moon and River Cafe	Schenectady	NY
105.1	NE-THEATRE	Eighth Step	Schenectady	NY
106.1	NE-VENUE	UNIHOG	Hoosick Falls	NY
106.1	NE-VENUE	Sal's Tavern	Hoosick Falls	NY
106.3	NE-VENUE	Down To The Roots	Chester	VT
107.6	NE-VENUE	Tailwater Lodge Altmar, Tapestry Collection by Hilton	Altmar	NY
107.7	NE-VENUE	Mid Mtn. Lodge Dinner – Stratton Mountain Resort	Stratton	VT
107.7	NE-VENUE	Stratton Mtn – Summit Patio	Stratton	VT
108.3	NE-RADIO	WHCL	Clinton	NY
108.8	NE-VENUE	Crown Point Country Club	Springfield	VT
109.2	NE-VENUE	Turning Stone Resort Casino	Verona	NY
109.6	NE-VENUE	Red Shed Brewery & Taproom	Cherry Valley	NY
109.7	NE-VENUE	Whaleback Mountain	Enfield	NH
109.9	NE-VENUE	Cup of Joy Cafe	Cape Vincent	NY
110.6	NE-VENUE	421 Craft Bar & Kitchen	Bennington	VT
110.6	NE-VENUE	Kelli's Tavern	Bennington	VT
110.6	NE-VENUE	Union South Bar & Provisions	Bennington	VT
110.6	NE-RADIO	WBTN	Bennington	VT
111.4	NE-VENUE	Vernon Downs Casino Hotel	Vernon	NY
111.4	NE-VENUE	3 Bastards Brewing	Vernon	NY
112.7	NE-VENUE	Indian Ladder Farms Cidery and Brewery	Altamont	NY
112.8	NE-FEST	Spring Thing	Troy	NY
112.8	NE-FEST	Troy Rockin' on The River	Troy	NY
112.8	NE-VENUE	518 Craft	Troy	NY
112.8	NE-VENUE	MoJo's Cafe & Gallery	Troy	NY
112.8	NE-VENUE	Oh Corn! Arepas	Troy	NY
112.8	NE-VENUE	Ryan's Wake	Troy	NY
112.8	NE-THEATRE	Troy Savings Bank Music Hall (Free Concert Series)	Troy	NY
112.8	NE-VENUE	Rustic Barn Pub	Troy	NY
112.8	NE-RADIO	WEXT	Troy	NY
114.9	NE-VENUE	Trail 87	West Dover	VT
115.3	NE-VENUE	Wayward Lane Brewing	Schoharie	NY
116.0	NE-HOUSE	Cot and Crackers House Concert	Schuyler Lake	NY
116.5	NE-VENUE	Dover Bar & Grill	Dover	VT
116.5	NE-VENUE	Mount Snow Grand Summit Resort	Dover	VT
116.5	NE-VENUE	Mount Snow Resort	Dover	VT
116.5	NE-VENUE	The Bullwheel	Dover	VT
116.7	NE-VENUE	The Loading Dock	Littleton	NH
117.1	NE-VENUE	North Shore Coffee & Tea Company	Bernhards Bay	NY
117.4	NE-FEST	PearlPalooza	Albany	NY
117.4	NE-FEST	Albany Tulip Festival	Albany	NY
117.4	NE-VENUE	The Hollow	Albany	NY
117.4	NE-VENUE	Fort Orange Brewing	Albany	NY
117.4	NE-VENUE	Jennings Landing	Albany	NY
117.4	NE-VENUE	The Albany Distilling Company Bar and Bottle Shop	Albany	NY
117.4	NE-THEATRE	Palace Theatre	Albany	NY
117.4	NE-THEATRE	The Eleven At Lark Hall	Albany	NY
117.4	NE-RADIO	WAMC	Albany	NY
119.0	NE-VENUE	Valley Craft Ales	Wilmington	VT
119.4	NE-VENUE	The Otesaga Resort Hotel	Cooperstown	NY
119.4	NE-VENUE	Cooperstown Beverage Exchange	Cooperstown	NY
119.4	NE-VENUE	Mel's at 22	Cooperstown	NY
119.5	NE-VENUE	Grace Tyler Estate Winery	Constantia	NY
121.0	NE-VENUE	Clark Art Institute	Williamstown	MA
123.0	NE-VENUE	Beer Naked Brewery	Marlboro	VT
123.0	NE-VENUE	Vermont Distillers	Marlboro	VT
123.6	NE-VENUE	916 Riverside	Central Square	NY
123.6	NE-VENUE	Tourists Hotel	North Adams	MA
124.1	NE-THEATRE	The Ridge	Chittenango	NY
124.6	NE-HOUSE	The Dorr Family Farm	Whitefield	NH
125.6	NE-FEST	Thursdays on the Village Green	Hamilton	NY
126.7	NE-VENUE	Peppercorn Tavern	Charlotteville	NY
127.3	NE-VENUE	Cloud Nine Creamery and Cafe	Cicero	NY
127.4	NE-VENUE	Trappers	Minoa	NY
128.0	NE-VENUE	S&S Farm Brewery	Nassau	NY
128.8	NE-VENUE	Monirae's Restaurant	Pennellville	NY
128.9	NE-VENUE	Freight Yard Brewing	Clay	NY
128.9	NE-VENUE	Docks Grill At Pirates Cove Marina	Clay	NY
129.0	NE-HOUSE	Third Floor Studios, Cattail Music, Brattleboro VT USA	Brattleboro	VT
129.0	NE-HOUSE	Under the Maple (Chez Grossman/Peel)	Brattleboro	VT
129.0	NE-THEATRE	Stone Church	Brattleboro	VT
129.5	NE-VENUE	Brae Loch Inn	Cazenovia	NY
129.7	NE-VENUE	Avicolli's Coal Fire	Fayetteville	NY
129.7	NE-VENUE	Craftsman Wood Grille & Tap House	Fayetteville	NY
130.1	NE-VENUE	Seneca Street Brew Pub	Manlius	NY
132.2	NE-VENUE	DUSKEES SPORTS BAR & GRILL	Phoenix	NY
133.0	NE-VENUE	Dockside Bar & Grill	Oswego	NY
133.0	NE-VENUE	Dominick's Sports Tavern	Oswego	NY
133.0	NE-VENUE	Ferris Wheel	Oswego	NY
133.0	NE-VENUE	GS Steamers Bar & Grill	Oswego	NY
133.0	NE-VENUE	Scriba Town Inn	Oswego	NY
133.0	NE-HOUSE	Tricia's House Concerts	Oswego	NY
133.0	NE-FEST	Oswego Porchfest	Oswego	NY
133.5	NE-VENUE	Lakeview Lanes	Fulton	NY
133.5	NE-HOUSE	Zoar House Concerts	Charlemont	MA
133.8	NE-VENUE	Revo Casino and Social House Keene	Keene	NH
133.8	NE-VENUE	Brian's Landing Jamesville	Jamesville	NY
134.1	NE-VENUE	Funk n' Waffles	Syracuse	NY
134.1	NE-VENUE	The 443 Social Club	Syracuse	NY
134.1	NE-VENUE	The Cider Mill	Syracuse	NY
134.1	NE-VENUE	315 Thursdays	Syracuse	NY
134.1	NE-VENUE	Al's Wine & Whiskey Lounge	Syracuse	NY
134.1	NE-VENUE	Art On The Porches	Syracuse	NY
134.1	NE-VENUE	Bellevue Country Club Inc	Syracuse	NY
134.1	NE-VENUE	Chevy Court	Syracuse	NY
134.1	NE-VENUE	Clinton Square	Syracuse	NY
134.1	NE-VENUE	Coleman's Authentic Irish Pub	Syracuse	NY
134.1	NE-VENUE	Crazy Daisies Flower Farm	Syracuse	NY
134.1	NE-VENUE	Hendricks Chapel	Syracuse	NY
134.1	NE-VENUE	Kitty Hoyne's Irish Pub	Syracuse	NY
134.1	NE-VENUE	McGraw Box Brewing Company	Syracuse	NY
134.1	NE-VENUE	Middle Ages Brewing Company	Syracuse	NY
134.1	NE-VENUE	PressRoom Pub	Syracuse	NY
134.1	NE-VENUE	Pump Pizza Pub	Syracuse	NY
134.1	NE-VENUE	Rise N Shine on Westcott	Syracuse	NY
134.1	NE-VENUE	Shifty's Bar & Grill	Syracuse	NY
134.1	NE-VENUE	The Whiskey Coop	Syracuse	NY
134.1	NE-VENUE	Vicinos Brick and Brew	Syracuse	NY
134.1	NE-HOUSE	Folkus	Syracuse	NY
134.1	NE-RADIO	WAER	Syracuse	NY
134.1	NE-VENUE	The Fitz	Syracuse	NY
134.1	NE-THEATRE	Pink Rock Culture Co-op	Syracuse	NY
134.1	NE-AGENT	Big Shot Entertainment	Syracuse	NY
134.2	NE-VENUE	Heid's of Liverpool	Liverpool	NY
134.4	NE-VENUE	OK Social	Valatie	NY
134.5	NE-VENUE	Rockland Cider Works - Upstate	Gilboa	NY
134.8	NE-HOUSE	Debs Chesham House Concerts	Chesham	NH
135.0	NE-VENUE	Belvedere Country Inn	Stamford	NY
135.0	NE-VENUE	Headwaters Arts Center	Stamford	NY
135.1	NE-VENUE	The Gatehouse Coffee Shop & Mercantile	Morris	NY
136.1	NE-VENUE	Gavin's Irish Country Inn	Cornwallville	NY
136.5	NE-VENUE	Fireside By The River	Baldwinsville	NY
136.5	NE-VENUE	Pasta's on the Green	Baldwinsville	NY
136.5	NE-VENUE	San Miguel Mexican Bar & Grill	Baldwinsville	NY
136.5	NE-THEATRE	Bud Light Amphitheater at Paper Mill Island	Baldwinsville	NY
136.9	NE-FEST	Northlands Music & Arts Festival	Swanzey	NH
137.3	NE-VENUE	Hot Plate Brewing Co.	Pittsfield	MA
137.7	NE-VENUE	Blue Heron Coxsackie	Coxsackie	NY
137.7	NE-VENUE	Brewery LaHoff	Coxsackie	NY
137.9	NE-VENUE	Muddy River Farm Brewery	Oneonta	NY
138.1	NE-VENUE	Floodwater Brewing Company	Shelburne Falls	MA
138.8	NE-VENUE	Local 315 Brewing Company	Warners	NY
139.9	NE-HOUSE	Unfinished House Concerts	North Sandwich	NH
142.5	NE-VENUE	The Reef, 1161 old route 31	Memphis	NY
142.5	NE-VENUE	Hidden Springs Brewhouse	Norwich	NY
142.5	NE-VENUE	Rita's	Norwich	NY
142.6	NE-VENUE	Riedlbauer's Resort	Round Top	NY
142.8	NE-FEST	Green River Festival	Greenfield	MA
142.8	NE-FEST	Strange Creek Campout	Greenfield	MA
142.8	NE-VENUE	The Mount, Edith Wharton's Home	Lenox	MA
142.8	NE-VENUE	Apple Tree Inn	Lenox	MA
142.8	NE-VENUE	The Ostrich Room	Lenox	MA
143.9	NE-VENUE	Stewart House River Grill	Athens	NY
144.4	NE-VENUE	Abbott's Village Tavern	Marcellus	NY
144.5	NE-FEST	Sterling Stage Folkfest	Sterling	NY
144.5	NE-VENUE	Pleasant Beach Hotel	Sterling	NY
144.5	NE-FEST	Hudson River Music Fest	Hudson	NY
144.5	NE-VENUE	Return Brewing	Hudson	NY
144.5	NE-VENUE	Union Street Brewing Co.	Hudson	NY
145.0	NE-VENUE	ONCO Fermentations	Tully	NY
145.8	NE-VENUE	The Pub	Philmont	NY
145.9	NE-VENUE	Vosburgh Brewing Company	Columbia County	NY
145.9	NE-HOUSE	The Greenhouse Studio	Gilford	NH
146.0	NE-VENUE	Brandon's Pub + Grille	Fair Haven	NY
146.0	NE-VENUE	Little Sodus Inn	Fair Haven	NY
146.0	NE-VENUE	Sterling Cidery	Fairhaven	NY
146.0	NE-VENUE	Stick and Rudder	Fairhaven	NY
146.6	NE-FEST	Great Blue Heron Music Festival	Catskill	NY
146.6	NE-THEATRE	Avalon Lounge	Catskill	NY
146.9	NE-VENUE	The Red Lion Inn / The Lions Den	Stockbridge	MA
146.9	NE-LIBRARY	Stockbridge Library Association	Stockbridge	MA
147.1	NE-VENUE	O'Neill's Shire Pub	Delhi	NY
147.7	NE-VENUE	Dream Away Lodge	Becket	MA
147.9	NE-VENUE	West Kill Brewing	West Kill	NY
149.4	NE-VENUE	The Sherwood Inn	Skaneateles	NY
149.4	NE-VENUE	Blue Water Grill	Skaneateles	NY
149.4	NE-VENUE	LakeHouse Pub	Skaneateles	NY
149.4	NE-VENUE	Skaneateles Brewery	Skaneateles	NY
149.4	NE-VENUE	Anyela's Vineyards	Skaneateles	NY
150.3	NE-VENUE	Lunkenheimer Craft Brewing Co.	Weedsport	NY
150.8	NE-FEST	Market Days Festival	Concord	NH
151.2	NE-RADIO	WMWV	Conway	NH
151.7	NE-FEST	Falcon Ridge Folk Festival	Hillsdale	NY
151.7	NE-VENUE	Roe Jan Brewing Co	Hillsdale	NY
153.4	NE-VENUE	Potters Farm to Fork	Port Byron	NY
153.4	NE-HOUSE	Mt Toby Concerts	Leverett	MA
154.2	NE-THEATRE	Pine Hill Comunity Center	Pine Hill	NY
154.3	NE-VENUE	Pier 53	Wolcott	NY
155.0	NE-VENUE	McGraw Box Brewing Co, Inc	McGraw	NY
155.4	NE-VENUE	Prison City Pub and Brewery North Street Urban Farm	Auburn	NY
155.4	NE-VENUE	City of Auburn Founder's Day Downtown Auburn	Auburn	NY
155.4	NE-VENUE	Parker's Grille	Auburn	NY
155.4	NE-THEATRE	Moondog's Lounge	Auburn	NY
155.9	NE-VENUE	Josie's Coffee Shoppe	Saugerties	NY
156.3	NE-HOUSE	Three Pork Hill	Ossipee	NH
156.5	NE-VENUE	Pembroke City Limits	Pembroke	NH
157.4	NE-VENUE	The Parlor Room	Northampton	MA
157.4	NE-VENUE	All Out Adventures Inc	Northampton	MA
157.4	NE-VENUE	Northampton Brewery	Northampton	MA
157.4	NE-VENUE	Progression Brewing Company	Northampton	MA
157.4	NE-VENUE	Summer on Strong	Northampton	MA
157.4	NE-THEATRE	Academy Of Music Theatre	Northampton	MA
157.4	NE-THEATRE	The Pines Theater	Northampton	MA
157.4	NE-VENUE	Iron Horse	Northampton	MA
157.5	NE-THEATRE	Walton Theatre	Walton	NY
157.5	NE-VENUE	Cortland Beer Company	Cortland	NY
157.5	NE-VENUE	Homer Hops Brewing	Cortland	NY
157.7	NE-LIBRARY	Hadley Public Library	Hadley	MA
158.0	NE-VENUE	The Drake	Amherst	MA
158.0	NE-RADIO	WMUA	Amherst	MA
158.1	NE-VENUE	Colony	Woodstock	NY
158.1	NE-VENUE	Pearl Moon Woodstock	Woodstock	NY
158.1	NE-VENUE	Tinker Street Tavern	Woodstock	NY
158.1	NE-HOUSE	Woodstock Library	Woodstock	NY
158.1	NE-RADIO	WDST	Woodstock	NY
160.4	NE-VENUE	Luthier's Co-op	Easthampton	MA
160.4	NE-VENUE	Abandoned Building Brewery	Easthampton	MA
160.4	NE-VENUE	Captain Jack's Goodtime Tavern	Sodus Point	NY
160.4	NE-VENUE	Docks Waterfront Restaurant and Lounge	Sodus Point	NY
160.4	NE-VENUE	Hot's Point	Sodus Point	NY
161.4	NE-FEST	Jetlag Music Festival	Downsville	NY
161.5	NE-RADIO	WXBC	Annandale-on-Hudson	NY
161.6	NE-VENUE	Summerhill Brewing, LLC	Summer Hill	NY
161.8	NE-VENUE	Eat N Go Village Green	Red Hook	NY
161.8	NE-VENUE	Rose Hill Farm	Red Hook	NY
161.8	NE-RADIO	WKZE	Red Hook	NY
162.4	NE-VENUE	The Shaskeen Pub and Restaurant	Manchester	NH
163.1	NE-VENUE	McCray's Country Creamery	South Hadley	MA
163.5	NE-VENUE	Fireside Lounge @ Point Place Casino	Bridgeport	NY
164.1	NE-THEATRE	The Stissing Center	Pine Plains	NY
164.5	NE-HOUSE	Yurt Concerts	Parsonsfield	ME
165.4	NE-VENUE	De La Luz Soundstage	Holyoke	MA
165.4	NE-VENUE	Delaney House	Holyoke	MA
165.4	NE-VENUE	Donovan's Irish Pub	Holyoke	MA
165.4	NE-VENUE	The Mick	Holyoke	MA
165.5	NE-FEST	Seneca Falls Canal Fest	Seneca Falls	NY
