Distance	Type	Venue	City	State
254.4	NE-FEST	Brooklyn Americana Music Fest	Brooklyn	NY
254.4	NE-FEST	Flatbush Avenue Summer Street Festival	Brooklyn	NY
254.4	NE-FEST	Church Avenue Street Festival	Brooklyn	NY
254.4	NE-FEST	Bayou ’n’ Brooklyn Music Festival	Brooklyn	NY
254.4	NE-FEST	Myrtle Ave Spring Fair	Brooklyn	NY
254.4	NE-FEST	Brooklyn Folk Festival	Brooklyn	NY
254.4	NE-VENUE	Barbès	Brooklyn	NY
254.4	NE-VENUE	Pete's Candy Store	Brooklyn	NY
254.4	NE-VENUE	Skinny Dennis	Brooklyn	NY
254.4	NE-VENUE	68 Jay Street Bar	Brooklyn	NY
254.4	NE-VENUE	Alphaville	Brooklyn	NY
254.4	NE-VENUE	Antidote	Brooklyn	NY
254.4	NE-VENUE	Anyway Cafe	Brooklyn	NY
254.4	NE-VENUE	Bad Therapy	Brooklyn	NY
254.4	NE-VENUE	Bakery by Textbook	Brooklyn	NY
254.4	NE-VENUE	Brooklyn Artery	Brooklyn	NY
254.4	NE-VENUE	Brooklyn Botanic Garden	Brooklyn	NY
254.4	NE-VENUE	Brooklyn Conservatory of Music	Brooklyn	NY
254.4	NE-VENUE	Brooklyn Navy Yard	Brooklyn	NY
254.4	NE-VENUE	Carousel	Brooklyn	NY
254.4	NE-VENUE	Crystal Lake Brooklyn	Brooklyn	NY
254.4	NE-VENUE	Doublé	Brooklyn	NY
254.4	NE-VENUE	East River Bar	Brooklyn	NY
254.4	NE-VENUE	Eavesdrop	Brooklyn	NY
254.4	NE-VENUE	Empire Stores	Brooklyn	NY
254.4	NE-VENUE	Fiction Bar/Cafe	Brooklyn	NY
254.4	NE-VENUE	Freddy's Bar	Brooklyn	NY
254.4	NE-VENUE	Friends and Lovers	Brooklyn	NY
254.4	NE-VENUE	Grimm Artisanal Ales	Brooklyn	NY
254.4	NE-VENUE	Hell Phone	Brooklyn	NY
254.4	NE-VENUE	Hometown BBQ	Brooklyn	NY
254.4	NE-VENUE	Leland Eating and Drinking House	Brooklyn	NY
254.4	NE-VENUE	Lena Horne Bandshell	Brooklyn	NY
254.4	NE-VENUE	LunÀtico	Brooklyn	NY
254.4	NE-VENUE	Mama Tried	Brooklyn	NY
254.4	NE-VENUE	Nook	Brooklyn	NY
254.4	NE-VENUE	Open Source Gallery Inc.	Brooklyn	NY
254.4	NE-VENUE	Radegast Hall & Biergarten	Brooklyn	NY
254.4	NE-VENUE	Secret Pour	Brooklyn	NY
254.4	NE-VENUE	ShapeShifter Lab	Brooklyn	NY
254.4	NE-VENUE	Speakeasy BKLYN	Brooklyn	NY
254.4	NE-VENUE	St. James Place	Brooklyn	NY
254.4	NE-VENUE	Sunny's	Brooklyn	NY
254.4	NE-VENUE	Sunset Stoop	Brooklyn	NY
254.4	NE-VENUE	The Commissioner	Brooklyn	NY
254.4	NE-VENUE	The Good Fork Pub	Brooklyn	NY
254.4	NE-VENUE	The Liberty Warehouse	Brooklyn	NY
254.4	NE-VENUE	The Turk's Inn	Brooklyn	NY
254.4	NE-VENUE	Therapy Wine Bar 2.0	Brooklyn	NY
254.4	NE-VENUE	Threes Brewing	Brooklyn	NY
254.4	NE-VENUE	Trash Bridge	Brooklyn	NY
254.4	NE-VENUE	Wonderville	Brooklyn	NY
254.4	NE-VENUE	Young Ethel's	Brooklyn	NY
254.4	NE-THEATRE	Ford Amphitheater at Coney Island Boardwalk	Brooklyn	NY
254.4	NE-THEATRE	Jalopy Theatre	Brooklyn	NY
254.4	NE-THEATRE	The Billie Holiday Theatre	Brooklyn	NY
254.4	NE-VENUE	Desert 5 Spot	Brooklyn	NY
254.4	NE-HOUSE	House of Love Concerts	Brooklyn	NY
254.4	NE-HOUSE	Paul's Brooklyn House Concerts	Brooklyn	NY
254.4	NE-LIBRARY	Brooklyn Heights Library	Brooklyn	NY
254.4	NE-LIBRARY	Brooklyn Public Library - Sheepshead Bay Branch	Brooklyn	NY
254.4	NE-VENUE	The Neverending Story	Babylon	NY
254.4	NE-HOUSE	Finch Mountain House Concerts	Babylon	NY
254.5	NE-VENUE	Mercato Kitchen & Cocktails	Massapequa Park	NY
254.6	NE-FEST	Lindenhurst Springfest	Lindenhurst	NY
254.6	NE-VENUE	Katch at Venetian Shores	Lindenhurst	NY
254.6	NE-VENUE	Lindenhurst Town Square and Gazebo	Lindenhurst	NY
254.8	NE-VENUE	Toomey's Tavern	Amityville	NY
254.9	NE-VENUE	Wayland Brewing Company	Orchard Park	NY
255.1	NE-FEST	Merrick Spring Festival	Merrick	NY
